Date;Temp_mean;STA
1990;27.4214246575342;-0.34109356645515
1991;27.3249859943978;-0.437532229591636
1992;27.4854098360656;-0.277108387923821
1993;27.5643835616438;-0.198134662345559
1994;27.3959726027397;-0.366545621249671
1995;27.8069662921348;0.0444480681454351
1996;27.342349726776;-0.420168497213439
1997;27.808127090301;0.045608866311607
1998;28.1709863013699;0.408468077380466
1999;27.9946849315068;0.232166707517454
2000;27.4825484764543;-0.279969747535102
2001;27.7259178082192;-0.0366004157702164
2002;27.6913424657534;-0.0711757582359702
2003;27.986270718232;0.22375249424265
2004;27.7518333333333;-0.0106848906560622
2005;28.2139554317549;0.45143720776548
2006;28.0300831024931;0.267564878503677
2007;28.029943977591;0.267425753601639
2008;27.4743055555556;-0.28821266843384
2009;27.650138121547;-0.112380102442433
2010;28.3392797783934;0.576761554403955
2011;27.7270083102493;-0.0355099137400892
2012;27.8583379501385;0.0958197261491094
2013;27.8004444444444;0.0379262204550486
2014;27.8845152354571;0.121997011467666
2015;28.0706703910615;0.308152167072056
2016;28.2574238227147;0.494905598725286
2017;27.9625;0.199981776010603
