Annee;DHM
1989;0
1990;0.206842000000002
1991;0.00746466666666687
1992;0.0874580000000008
1993;0
1994;0
1995;0.109845333333335
1996;0
1997;0.0469900000000005
1998;0.901411333333337
1999;1.085078
2000;0.0473873333333343
2001;0.130919333333334
2002;0.0254580000000004
2003;0.85841466666667
2004;0.275636666666669
2005;2.29584933333334
2006;0.720495333333336
2007;0.415899333333336
2008;0.159044000000002
2009;0.212441333333335
2010;0.994677333333337
2011;0.201508666666668
2012;0.68942466666667
2013;0.662502000000002
2014;0.524963333333336
2015;1.02869066666667
2016;1.071536
2017;0.277380666666668
2018;0
