year;site;count
1987;Tektite;62
1987;Yawzi;45
1988;Tektite;75
1988;Yawzi;53
1989;Tektite;61
1989;Yawzi;35
1990;Tektite;52
1990;Yawzi;29
1991;Tektite;47
1991;Yawzi;40
1992;Tektite;49
1992;Yawzi;27
1993;Tektite;45
1993;Yawzi;25
1994;Tektite;48
1994;Yawzi;30
1995;Tektite;56
1995;Yawzi;24
1996;Tektite;52
1996;Yawzi;12
1997;Tektite;31
1997;Yawzi;16
1998;Tektite;40
1998;Yawzi;15
1999;Tektite;33
1999;Yawzi;19
2000;Tektite;25
2000;Yawzi;14
2001;Tektite;23
2001;Yawzi;26
2002;Tektite;18
2002;Yawzi;29
2003;Tektite;24
2003;Yawzi;21
2004;Tektite;24
2004;Yawzi;15
2005;Tektite;39
2005;Yawzi;30
2006;Tektite;34
2006;Yawzi;39
2007;Tektite;33
2007;Yawzi;40
2008;Tektite;28
2008;Yawzi;52
2009;Tektite;36
2009;Yawzi;62
2010;Tektite;47
2010;Yawzi;78
2011;Tektite;44
2011;Yawzi;66
2012;Tektite;44
2012;Yawzi;63
2013;Tektite;44
2013;Yawzi;77
